s (1,1) 40
s (2,1) 34
s (3,1) 1
s (4,1) 39
s (5,1) 49
(1,1) (1,2) 24
(2,1) (2,2) 3
(3,1) (3,2) 42
(4,1) (4,2) 10
(5,1) (5,2) 42
(1,2) (1,3) 27
(2,2) (2,3) 15
(3,2) (3,3) 45
(4,2) (4,3) 12
(5,2) (5,3) 14
(1,3) (1,4) 11
(2,3) (2,4) 45
(3,3) (3,4) 16
(4,3) (4,4) 39
(5,3) (5,4) 40
(1,4) (1,5) 4
(2,4) (2,5) 36
(3,4) (3,5) 39
(4,4) (4,5) 10
(5,4) (5,5) 5
(1,5) (1,6) 3
(2,5) (2,6) 40
(3,5) (3,6) 11
(4,5) (4,6) 40
(5,5) (5,6) 42
(1,6) (1,7) 35
(2,6) (2,7) 39
(3,6) (3,7) 23
(4,6) (4,7) 3
(5,6) (5,7) 30
(1,7) (1,8) 40
(2,7) (2,8) 18
(3,7) (3,8) 39
(4,7) (4,8) 45
(5,7) (5,8) 6
(1,8) (1,9) 40
(2,8) (2,9) 45
(3,8) (3,9) 33
(4,8) (4,9) 4
(5,8) (5,9) 41
(1,9) (1,10) 19
(2,9) (2,10) 18
(3,9) (3,10) 8
(4,9) (4,10) 43
(5,9) (5,10) 1
(1,10) (1,11) 19
(2,10) (2,11) 5
(3,10) (3,11) 45
(4,10) (4,11) 45
(5,10) (5,11) 49
(1,11) (1,12) 47
(2,11) (2,12) 17
(3,11) (3,12) 13
(4,11) (4,12) 46
(5,11) (5,12) 19
(1,12) (1,13) 45
(2,12) (2,13) 21
(3,12) (3,13) 13
(4,12) (4,13) 47
(5,12) (5,13) 30
(1,13) (1,14) 36
(2,13) (2,14) 43
(3,13) (3,14) 34
(4,13) (4,14) 16
(5,13) (5,14) 48
(1,14) (1,15) 39
(2,14) (2,15) 4
(3,14) (3,15) 36
(4,14) (4,15) 37
(5,14) (5,15) 20
(1,15) (1,16) 2
(2,15) (2,16) 12
(3,15) (3,16) 48
(4,15) (4,16) 6
(5,15) (5,16) 7
(1,16) (1,17) 50
(2,16) (2,17) 23
(3,16) (3,17) 27
(4,16) (4,17) 45
(5,16) (5,17) 43
(1,17) (1,18) 6
(2,17) (2,18) 32
(3,17) (3,18) 24
(4,17) (4,18) 6
(5,17) (5,18) 39
(1,18) (1,19) 43
(2,18) (2,19) 18
(3,18) (3,19) 40
(4,18) (4,19) 42
(5,18) (5,19) 9
(1,19) (1,20) 46
(2,19) (2,20) 18
(3,19) (3,20) 7
(4,19) (4,20) 34
(5,19) (5,20) 49
(1,20) (1,21) 10
(2,20) (2,21) 36
(3,20) (3,21) 1
(4,20) (4,21) 2
(5,20) (5,21) 24
(1,21) (1,22) 2
(2,21) (2,22) 38
(3,21) (3,22) 28
(4,21) (4,22) 49
(5,21) (5,22) 49
(1,22) (1,23) 33
(2,22) (2,23) 8
(3,22) (3,23) 39
(4,22) (4,23) 6
(5,22) (5,23) 39
(1,23) (1,24) 47
(2,23) (2,24) 10
(3,23) (3,24) 26
(4,23) (4,24) 4
(5,23) (5,24) 42
(1,24) (1,25) 28
(2,24) (2,25) 49
(3,24) (3,25) 27
(4,24) (4,25) 45
(5,24) (5,25) 1
(1,1) (2,1) 33
(2,1) (1,1) 50
(2,1) (3,1) 5
(3,1) (2,1) 41
(3,1) (4,1) 38
(4,1) (3,1) 47
(4,1) (5,1) 29
(5,1) (4,1) 39
(1,2) (2,2) 15
(2,2) (1,2) 12
(2,2) (3,2) 19
(3,2) (2,2) 44
(3,2) (4,2) 23
(4,2) (3,2) 26
(4,2) (5,2) 27
(5,2) (4,2) 50
(1,3) (2,3) 29
(2,3) (1,3) 16
(2,3) (3,3) 20
(3,3) (2,3) 44
(3,3) (4,3) 44
(4,3) (3,3) 43
(4,3) (5,3) 5
(5,3) (4,3) 23
(1,4) (2,4) 12
(2,4) (1,4) 11
(2,4) (3,4) 45
(3,4) (2,4) 16
(3,4) (4,4) 38
(4,4) (3,4) 10
(4,4) (5,4) 42
(5,4) (4,4) 38
(1,5) (2,5) 42
(2,5) (1,5) 21
(2,5) (3,5) 42
(3,5) (2,5) 35
(3,5) (4,5) 22
(4,5) (3,5) 48
(4,5) (5,5) 29
(5,5) (4,5) 39
(1,6) (2,6) 23
(2,6) (1,6) 44
(2,6) (3,6) 45
(3,6) (2,6) 10
(3,6) (4,6) 29
(4,6) (3,6) 22
(4,6) (5,6) 16
(5,6) (4,6) 15
(1,7) (2,7) 48
(2,7) (1,7) 38
(2,7) (3,7) 31
(3,7) (2,7) 1
(3,7) (4,7) 2
(4,7) (3,7) 27
(4,7) (5,7) 1
(5,7) (4,7) 5
(1,8) (2,8) 14
(2,8) (1,8) 24
(2,8) (3,8) 17
(3,8) (2,8) 49
(3,8) (4,8) 39
(4,8) (3,8) 26
(4,8) (5,8) 4
(5,8) (4,8) 4
(1,9) (2,9) 6
(2,9) (1,9) 49
(2,9) (3,9) 39
(3,9) (2,9) 3
(3,9) (4,9) 36
(4,9) (3,9) 43
(4,9) (5,9) 45
(5,9) (4,9) 35
(1,10) (2,10) 21
(2,10) (1,10) 30
(2,10) (3,10) 2
(3,10) (2,10) 3
(3,10) (4,10) 49
(4,10) (3,10) 20
(4,10) (5,10) 50
(5,10) (4,10) 38
(1,11) (2,11) 26
(2,11) (1,11) 47
(2,11) (3,11) 47
(3,11) (2,11) 1
(3,11) (4,11) 12
(4,11) (3,11) 10
(4,11) (5,11) 26
(5,11) (4,11) 28
(1,12) (2,12) 26
(2,12) (1,12) 2
(2,12) (3,12) 16
(3,12) (2,12) 7
(3,12) (4,12) 18
(4,12) (3,12) 47
(4,12) (5,12) 9
(5,12) (4,12) 40
(1,13) (2,13) 9
(2,13) (1,13) 39
(2,13) (3,13) 22
(3,13) (2,13) 21
(3,13) (4,13) 11
(4,13) (3,13) 22
(4,13) (5,13) 36
(5,13) (4,13) 21
(1,14) (2,14) 29
(2,14) (1,14) 36
(2,14) (3,14) 26
(3,14) (2,14) 35
(3,14) (4,14) 24
(4,14) (3,14) 50
(4,14) (5,14) 9
(5,14) (4,14) 13
(1,15) (2,15) 11
(2,15) (1,15) 6
(2,15) (3,15) 33
(3,15) (2,15) 15
(3,15) (4,15) 11
(4,15) (3,15) 41
(4,15) (5,15) 50
(5,15) (4,15) 35
(1,16) (2,16) 34
(2,16) (1,16) 5
(2,16) (3,16) 8
