s (1,1) 37
s (2,1) 16
s (3,1) 3
s (4,1) 29
s (5,1) 32
(1,1) (1,2) 43
(2,1) (2,2) 15
(3,1) (3,2) 36
(4,1) (4,2) 25
(5,1) (5,2) 43
(1,2) (1,3) 13
(2,2) (2,3) 33
(3,2) (3,3) 5
(4,2) (4,3) 13
(5,2) (5,3) 12
(1,3) (1,4) 40
(2,3) (2,4) 49
(3,3) (3,4) 40
(4,3) (4,4) 44
(5,3) (5,4) 9
(1,4) (1,5) 35
(2,4) (2,5) 27
(3,4) (3,5) 26
(4,4) (4,5) 5
(5,4) (5,5) 49
(1,5) (1,6) 30
(2,5) (2,6) 16
(3,5) (3,6) 31
(4,5) (4,6) 17
(5,5) (5,6) 29
(1,6) (1,7) 42
(2,6) (2,7) 49
(3,6) (3,7) 21
(4,6) (4,7) 26
(5,6) (5,7) 30
(1,7) (1,8) 1
(2,7) (2,8) 5
(3,7) (3,8) 24
(4,7) (4,8) 31
(5,7) (5,8) 34
(1,8) (1,9) 37
(2,8) (2,9) 41
(3,8) (3,9) 7
(4,8) (4,9) 6
(5,8) (5,9) 15
(1,9) (1,10) 19
(2,9) (2,10) 44
(3,9) (3,10) 11
(4,9) (4,10) 5
(5,9) (5,10) 1
(1,10) (1,11) 8
(2,10) (2,11) 38
(3,10) (3,11) 41
(4,10) (4,11) 43
(5,10) (5,11) 32
(1,11) (1,12) 11
(2,11) (2,12) 21
(3,11) (3,12) 8
(4,11) (4,12) 32
(5,11) (5,12) 25
(1,12) (1,13) 45
(2,12) (2,13) 3
(3,12) (3,13) 26
(4,12) (4,13) 9
(5,12) (5,13) 44
(1,13) (1,14) 35
(2,13) (2,14) 10
(3,13) (3,14) 17
(4,13) (4,14) 47
(5,13) (5,14) 27
(1,14) (1,15) 5
(2,14) (2,15) 33
(3,14) (3,15) 20
(4,14) (4,15) 22
(5,14) (5,15) 23
(1,1) (2,1) 41
(2,1) (1,1) 47
(2,1) (3,1) 20
(3,1) (2,1) 35
(3,1) (4,1) 33
(4,1) (3,1) 26
(4,1) (5,1) 31
(5,1) (4,1) 21
(1,2) (2,2) 4
(2,2) (1,2) 10
(2,2) (3,2) 1
(3,2) (2,2) 34
(3,2) (4,2) 49
(4,2) (3,2) 8
(4,2) (5,2) 2
(5,2) (4,2) 34
(1,3) (2,3) 46
(2,3) (1,3) 24
(2,3) (3,3) 42
(3,3) (2,3) 39
(3,3) (4,3) 41
(4,3) (3,3) 28
(4,3) (5,3) 29
(5,3) (4,3) 40
(1,4) (2,4) 49
(2,4) (1,4) 38
(2,4) (3,4) 38
(3,4) (2,4) 4
(3,4) (4,4) 46
(4,4) (3,4) 30
(4,4) (5,4) 28
(5,4) (4,4) 13
(1,5) (2,5) 41
(2,5) (1,5) 44
(2,5) (3,5) 47
(3,5) (2,5) 8
(3,5) (4,5) 40
(4,5) (3,5) 32
(4,5) (5,5) 20
(5,5) (4,5) 4
(1,6) (2,6) 21
(2,6) (1,6) 33
(2,6) (3,6) 18
(3,6) (2,6) 23
(3,6) (4,6) 46
(4,6) (3,6) 15
(4,6) (5,6) 13
(5,6) (4,6) 34
(1,7) (2,7) 41
(2,7) (1,7) 7
(2,7) (3,7) 50
(3,7) (2,7) 27
(3,7) (4,7) 46
(4,7) (3,7) 39
(4,7) (5,7) 40
(5,7) (4,7) 10
(1,8) (2,8) 27
(2,8) (1,8) 41
(2,8) (3,8) 29
(3,8) (2,8) 32
(3,8) (4,8) 12
(4,8) (3,8) 38
(4,8) (5,8) 26
(5,8) (4,8) 14
(1,9) (2,9) 25
(2,9) (1,9) 36
(2,9) (3,9) 28
(3,9) (2,9) 23
(3,9) (4,9) 42
(4,9) (3,9) 19
(4,9) (5,9) 49
(5,9) (4,9) 24
(1,10) (2,10) 37
(2,10) (1,10) 21
(2,10) (3,10) 2
(3,10) (2,10) 36
(3,10) (4,10) 21
(4,10) (3,10) 40
(4,10) (5,10) 35
(5,10) (4,10) 18
(1,11) (2,11) 44
(2,11) (1,11) 15
(2,11) (3,11) 23
(3,11) (2,11) 35
(3,11) (4,11) 6
(4,11) (3,11) 4
(4,11) (5,11) 3
(5,11) (4,11) 10
(1,12) (2,12) 35
(2,12) (1,12) 44
(2,12) (3,12) 43
(3,12) (2,12) 13
(3,12) (4,12) 22
(4,12) (3,12) 44
(4,12) (5,12) 44
(5,12) (4,12) 50
(1,13) (2,13) 33
(2,13) (1,13) 14
(2,13) (3,13) 20
(3,13) (2,13) 31
(3,13) (4,13) 34
(4,13) (3,13) 42
(4,13) (5,13) 16
(5,13) (4,13) 30
(1,14) (2,14) 42
(2,14) (1,14) 48
(2,14) (3,14) 27
(3,14) (2,14) 29
(3,14) (4,14) 19
(4,14) (3,14) 44
(4,14) (5,14) 44
(5,14) (4,14) 22
(1,15) (2,15) 14
(2,15) (1,15) 7
(2,15) (3,15) 24
(3,15) (2,15) 5
(3,15) (4,15) 25
(4,15) (3,15) 47
(4,15) (5,15) 50
(5,15) (4,15) 9
(1,15) t 9
(2,15) t 7
(3,15) t 17
(4,15) t 41
(5,15) t 32
